angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.35,,"[274, 73, 77, 106]",,0.0,,0.04,,0.03,,0.5,,0.09,,0.01,
0.46,,"[276, 70, 76, 105]",,0.0,,0.04,,0.0,,0.38,,0.11,,0.0,
0.41,,"[276, 71, 75, 103]",,0.0,,0.07,,0.01,,0.37,,0.14,,0.01,
0.42,,"[274, 71, 76, 103]",,0.0,,0.06,,0.01,,0.34,,0.17,,0.01,
0.43,,"[272, 75, 78, 101]",,0.0,,0.04,,0.01,,0.38,,0.13,,0.01,
0.33,,"[273, 71, 76, 103]",,0.0,,0.06,,0.07,,0.4,,0.13,,0.02,
0.35,,"[272, 70, 77, 105]",,0.0,,0.06,,0.13,,0.35,,0.11,,0.01,
0.35,,"[272, 71, 76, 101]",,0.0,,0.05,,0.01,,0.45,,0.13,,0.01,
0.35,,"[272, 71, 76, 101]",,0.0,,0.05,,0.0,,0.42,,0.17,,0.01,
0.35,,"[268, 71, 78, 102]",,0.0,,0.08,,0.01,,0.45,,0.11,,0.02,
0.37,,"[267, 68, 78, 104]",,0.0,,0.07,,0.01,,0.39,,0.13,,0.02,
0.28,,"[265, 70, 77, 105]",,0.0,,0.12,,0.03,,0.42,,0.11,,0.04,
0.33,,"[264, 71, 78, 103]",,0.0,,0.08,,0.01,,0.29,,0.27,,0.01,
0.21,,"[263, 73, 77, 100]",,0.0,,0.11,,0.02,,0.26,,0.4,,0.01,
0.32,,"[263, 72, 77, 100]",,0.0,,0.11,,0.04,,0.27,,0.25,,0.01,
0.3,,"[263, 71, 78, 100]",,0.0,,0.04,,0.02,,0.55,,0.08,,0.0,
0.21,,"[264, 66, 79, 104]",,0.0,,0.01,,0.02,,0.71,,0.04,,0.0,
0.13,,"[265, 69, 77, 100]",,0.0,,0.02,,0.01,,0.8,,0.04,,0.0,
0.1,,"[266, 69, 77, 99]",,0.0,,0.02,,0.01,,0.83,,0.04,,0.0,
0.11,,"[264, 71, 77, 96]",,0.0,,0.02,,0.01,,0.8,,0.05,,0.0,
0.14,,"[265, 68, 78, 101]",,0.0,,0.01,,0.01,,0.78,,0.05,,0.0,
0.09,,"[265, 69, 77, 99]",,0.0,,0.02,,0.01,,0.82,,0.06,,0.0,
0.07,,"[263, 71, 76, 96]",,0.0,,0.01,,0.01,,0.87,,0.03,,0.0,
0.15,,"[262, 72, 75, 96]",,0.0,,0.02,,0.01,,0.76,,0.05,,0.0,
0.33,,"[261, 72, 76, 97]",,0.0,,0.03,,0.03,,0.54,,0.07,,0.0,
0.57,,"[260, 71, 77, 98]",,0.0,,0.04,,0.12,,0.17,,0.1,,0.0,
0.74,,"[260, 74, 79, 101]",,0.0,,0.04,,0.03,,0.08,,0.09,,0.0,
0.68,,"[260, 69, 76, 100]",,0.0,,0.05,,0.09,,0.08,,0.08,,0.0,
0.54,,"[260, 70, 75, 97]",,0.0,,0.03,,0.02,,0.27,,0.13,,0.0,
0.27,,"[261, 70, 74, 95]",,0.0,,0.03,,0.01,,0.58,,0.11,,0.0,
0.24,,"[262, 70, 73, 94]",,0.0,,0.02,,0.01,,0.63,,0.1,,0.0,
